id,ball1,ball2,ball3,ball4,team_code,team_name,team_sequence
525,3,4,7,9,FLA,Florida,37
526,3,4,7,10,CHI,Chicago,69
527,3,4,7,11,SJS,San Jose,32
528,3,4,7,12,WPG,Winnipeg,34
529,3,4,7,13,WPG,Winnipeg,35
530,3,4,7,14,VAN,Vancouver,95
531,3,4,8,9,NYR,NY Rangers,58
532,3,4,8,10,NYR,NY Rangers,59
533,3,4,8,11,VAN,Vancouver,96
534,3,4,8,12,STL,St. Louis,16
535,3,4,8,13,NSH,Nashville,21
536,3,4,8,14,SEA,Seattle,42
537,3,4,9,10,FLA,Florida,38
538,3,4,9,11,SJS,San Jose,33
539,3,4,9,12,SJS,San Jose,34
540,3,4,9,13,NSH,Nashville,22
541,3,4,9,14,CHI,Chicago,70
542,3,4,10,11,TOR,Toronto,49
543,3,4,10,12,WAS,Washington,1
544,3,4,10,13,VAN,Vancouver,97
545,3,4,10,14,CHI,Chicago,71
546,3,4,11,12,TOR,Toronto,50
547,3,4,11,13,NYR,NY Rangers,60
548,3,4,11,14,SEA,Seattle,43
549,3,4,12,13,NYR,NY Rangers,61
550,3,4,12,14,VAN,Vancouver,98
551,3,4,13,14,STL,St. Louis,17
552,3,5,6,7,CHI,Chicago,72
553,3,5,6,8,WPG,Winnipeg,36
554,3,5,6,9,VAN,Vancouver,99
555,3,5,6,10,CBJ,Columbus,8
556,3,5,6,11,NYR,NY Rangers,62
557,3,5,6,12,CHI,Chicago,73
558,3,5,6,13,VAN,Vancouver,100
559,3,5,6,14,VAN,Vancouver,101
560,3,5,7,8,NYR,NY Rangers,63
561,3,5,7,9,CHI,Chicago,74
562,3,5,7,10,CHI,Chicago,75
563,3,5,7,11,VAN,Vancouver,102
564,3,5,7,12,WPG,Winnipeg,37
565,3,5,7,13,NYR,NY Rangers,64
566,3,5,7,14,NYR,NY Rangers,65
567,3,5,8,9,VAN,Vancouver,103
568,3,5,8,10,FLA,Florida,39
569,3,5,8,11,VAN,Vancouver,104
570,3,5,8,12,CGY,Calgary,53
571,3,5,8,13,CHI,Chicago,76
572,3,5,8,14,CHI,Chicago,77
573,3,5,9,10,NYR,NY Rangers,66
574,3,5,9,11,VAN,Vancouver,105
575,3,5,9,12,TOR,Toronto,51
576,3,5,9,13,SJS,San Jose,35
577,3,5,9,14,NYR,NY Rangers,67
578,3,5,10,11,NSH,Nashville,23
579,3,5,10,12,NYR,NY Rangers,68
580,3,5,10,13,FLA,Florida,40
581,3,5,10,14,NYR,NY Rangers,69
582,3,5,11,12,VAN,Vancouver,106
583,3,5,11,13,CHI,Chicago,78
584,3,5,11,14,VAN,Vancouver,107
585,3,5,12,13,VAN,Vancouver,108
586,3,5,12,14,VAN,Vancouver,109
587,3,5,13,14,CHI,Chicago,79
588,3,6,7,8,CGY,Calgary,54
589,3,6,7,9,CHI,Chicago,80
590,3,6,7,10,VAN,Vancouver,110
591,3,6,7,11,NYR,NY Rangers,70
592,3,6,7,12,WPG,Winnipeg,38
593,3,6,7,13,FLA,Florida,41
594,3,6,7,14,CGY,Calgary,55
595,3,6,8,9,VAN,Vancouver,111
596,3,6,8,10,NJD,New Jersey,10
597,3,6,8,11,WPG,Winnipeg,39
598,3,6,8,12,TOR,Toronto,52
599,3,6,8,13,CGY,Calgary,56
600,3,6,8,14,NSH,Nashville,24
601,3,6,9,10,VAN,Vancouver,112
602,3,6,9,11,NJD,New Jersey,11
603,3,6,9,12,NYR,NY Rangers,71
604,3,6,9,13,CHI,Chicago,81
605,3,6,9,14,VAN,Vancouver,113
606,3,6,10,11,WPG,Winnipeg,40
607,3,6,10,12,SEA,Seattle,44
608,3,6,10,13,CHI,Chicago,82
609,3,6,10,14,FLA,Florida,42
610,3,6,11,12,CGY,Calgary,57
611,3,6,11,13,SEA,Seattle,45
612,3,6,11,14,WPG,Winnipeg,41
613,3,6,12,13,NJD,New Jersey,12
614,3,6,12,14,NYR,NY Rangers,72
615,3,6,13,14,NYI,NY Islanders,11
616,3,7,8,9,NYR,NY Rangers,73
617,3,7,8,10,SEA,Seattle,46
618,3,7,8,11,VAN,Vancouver,114
619,3,7,8,12,NJD,New Jersey,13
620,3,7,8,13,SEA,Seattle,47
621,3,7,8,14,NYR,NY Rangers,74
622,3,7,9,10,SJS,San Jose,36
623,3,7,9,11,CHI,Chicago,83
624,3,7,9,12,VAN,Vancouver,115
625,3,7,9,13,NSH,Nashville,25
626,3,7,9,14,FLA,Florida,43
627,3,7,10,11,CHI,Chicago,84
628,3,7,10,12,NYR,NY Rangers,75
629,3,7,10,13,NJD,New Jersey,14
630,3,7,10,14,VAN,Vancouver,116
631,3,7,11,12,CGY,Calgary,58
632,3,7,11,13,FLA,Florida,44
633,3,7,11,14,CHI,Chicago,85
634,3,7,12,13,NSH,Nashville,26
635,3,7,12,14,FLA,Florida,45
636,3,7,13,14,CGY,Calgary,59
637,3,8,9,10,SEA,Seattle,48
638,3,8,9,11,WPG,Winnipeg,42
639,3,8,9,12,TOR,Toronto,53
640,3,8,9,13,CGY,Calgary,60
641,3,8,9,14,STL,St. Louis,18
642,3,8,10,11,CHI,Chicago,86
643,3,8,10,12,VAN,Vancouver,117
644,3,8,10,13,NYR,NY Rangers,76
645,3,8,10,14,VAN,Vancouver,118
646,3,8,11,12,FLA,Florida,46
647,3,8,11,13,CHI,Chicago,87
648,3,8,11,14,SEA,Seattle,49
649,3,8,12,13,TOR,Toronto,54
650,3,8,12,14,NYI,NY Islanders,12
651,3,8,13,14,CHI,Chicago,88
652,3,9,10,11,CBJ,Columbus,9
653,3,9,10,12,CGY,Calgary,61
654,3,9,10,13,CHI,Chicago,89
655,3,9,10,14,NSH,Nashville,27
656,3,9,11,12,SEA,Seattle,50
657,3,9,11,13,FLA,Florida,47
658,3,9,11,14,NYR,NY Rangers,77
659,3,9,12,13,FLA,Florida,48
660,3,9,12,14,VAN,Vancouver,119
661,3,9,13,14,VAN,Vancouver,120
662,3,10,11,12,VAN,Vancouver,121
663,3,10,11,13,VAN,Vancouver,122
664,3,10,11,14,NYI,NY Islanders,13
665,3,10,12,13,DET,St. Louis (DET),4
666,3,10,12,14,CGY,Calgary,62
667,3,10,13,14,NYR,NY Rangers,78
668,3,11,12,13,CHI,Chicago,90
669,3,11,12,14,CGY,Calgary,63
670,3,11,13,14,VAN,Vancouver,123
671,3,12,13,14,TOR,Toronto,55
672,4,5,6,7,TOR,Toronto,56
673,4,5,6,8,NYR,NY Rangers,79
674,4,5,6,9,STL,St. Louis,19
675,4,5,6,10,NSH,Nashville,28
676,4,5,6,11,NSH,Nashville,29
677,4,5,6,12,SEA,Seattle,51
678,4,5,6,13,VAN,Vancouver,124
679,4,5,6,14,VAN,Vancouver,125
680,4,5,7,8,NYR,NY Rangers,80
681,4,5,7,9,NYR,NY Rangers,81
682,4,5,7,10,SJS,San Jose,37
683,4,5,7,11,VAN,Vancouver,126
684,4,5,7,12,NSH,Nashville,30
685,4,5,7,13,TOR,Toronto,57
686,4,5,7,14,VAN,Vancouver,127
687,4,5,8,9,WPG,Winnipeg,43
688,4,5,8,10,NYR,NY Rangers,82
689,4,5,8,11,NYI,NY Islanders,14
690,4,5,8,12,VAN,Vancouver,128
691,4,5,8,13,VAN,Vancouver,129
692,4,5,8,14,NYI,NY Islanders,15
693,4,5,9,10,NYR,NY Rangers,83
694,4,5,9,11,CHI,Chicago,91
695,4,5,9,12,CGY,Calgary,64
696,4,5,9,13,NYR,NY Rangers,84
697,4,5,9,14,CHI,Chicago,92
698,4,5,10,11,VAN,Vancouver,130
699,4,5,10,12,CGY,Calgary,65
700,4,5,10,13,SEA,Seattle,52
701,4,5,10,14,WPG,Winnipeg,44
702,4,5,11,12,CHI,Chicago,93
703,4,5,11,13,TOR,Toronto,58
704,4,5,11,14,CBJ,Columbus,10
705,4,5,12,13,VAN,Vancouver,131
706,4,5,12,14,TOR,Toronto,59
707,4,5,13,14,STL,St. Louis,20
708,4,6,7,8,NYR,NY Rangers,85
709,4,6,7,9,VAN,Vancouver,132
710,4,6,7,10,FLA,Florida,49
711,4,6,7,11,NYR,NY Rangers,86
712,4,6,7,12,STL,St. Louis,21
713,4,6,7,13,VAN,Vancouver,133
714,4,6,7,14,NJD,New Jersey,15
715,4,6,8,9,VAN,Vancouver,134
716,4,6,8,10,VAN,Vancouver,135
717,4,6,8,11,VAN,Vancouver,136
718,4,6,8,12,WPG,Winnipeg,45
719,4,6,8,13,VAN,Vancouver,137
720,4,6,8,14,SJS,San Jose,38
721,4,6,9,10,VAN,Vancouver,138
722,4,6,9,11,VAN,Vancouver,139
723,4,6,9,12,WPG,Winnipeg,46
724,4,6,9,13,VAN,Vancouver,140
725,4,6,9,14,NYI,NY Islanders,16
726,4,6,10,11,VAN,Vancouver,141
727,4,6,10,12,CHI,Chicago,94
728,4,6,10,13,CGY,Calgary,66
729,4,6,10,14,VAN,Vancouver,142
730,4,6,11,12,NYR,NY Rangers,87
731,4,6,11,13,CHI,Chicago,95
732,4,6,11,14,SJS,San Jose,39
733,4,6,12,13,CHI,Chicago,96
734,4,6,12,14,CGY,Calgary,67
735,4,6,13,14,SJS,San Jose,40
736,4,7,8,9,VAN,Vancouver,143
737,4,7,8,10,WPG,Winnipeg,47
738,4,7,8,11,CHI,Chicago,97
739,4,7,8,12,FLA,Florida,50
740,4,7,8,13,NYR,NY Rangers,88
741,4,7,8,14,NSH,Nashville,31
742,4,7,9,10,NYR,NY Rangers,89
743,4,7,9,11,NSH,Nashville,32
744,4,7,9,12,CGY,Calgary,68
745,4,7,9,13,TOR,Toronto,60
746,4,7,9,14,FLA,Florida,51
747,4,7,10,11,TOR,Toronto,61
748,4,7,10,12,SEA,Seattle,53
749,4,7,10,13,NYR,NY Rangers,90
750,4,7,10,14,NYR,NY Rangers,91
751,4,7,11,12,TOR,Toronto,62
752,4,7,11,13,TOR,Toronto,63
753,4,7,11,14,TOR,Toronto,64
754,4,7,12,13,VAN,Vancouver,144
755,4,7,12,14,SEA,Seattle,54
756,4,7,13,14,CHI,Chicago,98
757,4,8,9,10,VAN,Vancouver,145
758,4,8,9,11,VAN,Vancouver,146
759,4,8,9,12,VAN,Vancouver,147
760,4,8,9,13,SEA,Seattle,55
761,4,8,9,14,WPG,Winnipeg,48
762,4,8,10,11,CHI,Chicago,99
763,4,8,10,12,CHI,Chicago,100
764,4,8,10,13,SEA,Seattle,56
765,4,8,10,14,STL,St. Louis,22
766,4,8,11,12,VAN,Vancouver,148
767,4,8,11,13,CGY,Calgary,69
768,4,8,11,14,SEA,Seattle,57
769,4,8,12,13,SJS,San Jose,41
